customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-36,Female,1,No,No,65,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No,No internet service,Two year,No,Mailed check,89.96,963.57,No
CUST-37,Male,0,Yes,No,33,Yes,Yes,DSL,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),115.63,819.23,No
CUST-38,Male,1,No,No,53,Yes,No phone service,Fiber optic,No,No,No,Yes,No internet service,No,One year,No,Credit card (automatic),116.51,6656.41,No
CUST-39,Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,30.62,5573.05,Yes
CUST-40,Male,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),94.87,4822.85,No
CUST-41,Male,0,No,Yes,14,No,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,No,Mailed check,84.43,7906.24,Yes
CUST-42,Female,0,No,No,14,Yes,No phone service,No,No internet service,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),98.15,5334.89,No
CUST-43,Female,0,Yes,Yes,22,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,No internet service,Two year,No,Bank transfer (automatic),51.32,422.43,No
CUST-44,Female,0,Yes,Yes,65,Yes,No,DSL,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),58.17,3993.11,No
CUST-45,Female,0,No,No,45,No,No,No,No internet service,No,No internet service,Yes,Yes,No,One year,No,Mailed check,52.18,1840.7,No
CUST-46,Female,1,Yes,No,8,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),94.65,5287.87,No
CUST-47,Male,0,No,No,65,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,98.91,1610.01,No
CUST-48,Female,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,42.93,5488.78,No
CUST-49,Female,0,Yes,No,17,Yes,No phone service,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,One year,No,Electronic check,75.28,7510.4,No
CUST-50,Male,0,No,No,16,Yes,No phone service,DSL,Yes,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,30.6,672.53,Yes
CUST-51,Female,0,No,Yes,71,Yes,No,DSL,Yes,Yes,No,Yes,No internet service,Yes,Two year,Yes,Electronic check,19.32,2214.62,No
CUST-52,Male,0,No,No,33,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.01,5730.58,No
CUST-53,Female,1,Yes,No,68,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,102.02,6050.52,Yes
CUST-54,Male,0,Yes,No,63,Yes,Yes,DSL,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,108.66,4995.21,No
CUST-55,Female,0,Yes,No,43,Yes,No,DSL,No internet service,No,No,No internet service,No,No internet service,One year,No,Mailed check,80.04,1197.81,No
CUST-56,Female,0,No,No,28,Yes,No phone service,Fiber optic,No,Yes,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),98.87,2076.02,No
CUST-57,Male,0,Yes,No,61,Yes,No,No,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),58.42,7714.14,Yes
CUST-58,Male,0,Yes,No,15,Yes,No,No,No,No,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,105.53,6966.72,Yes
CUST-59,Male,0,No,No,51,Yes,No phone service,No,No,No internet service,Yes,No,No,No,One year,No,Credit card (automatic),95.47,8076.09,No
CUST-60,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Two year,No,Electronic check,48.85,3487.77,No
CUST-61,Male,0,Yes,Yes,60,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),77.72,3746.35,No
CUST-62,Male,0,No,Yes,3,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),23.13,2213.69,Yes
CUST-63,Male,0,No,Yes,51,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,32.66,4467.07,Yes
CUST-64,Male,0,No,No,40,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No,Two year,Yes,Electronic check,112.67,7056.8,No
CUST-65,Female,0,No,No,51,Yes,No phone service,DSL,No internet service,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),18.98,2118.83,No
CUST-66,Female,0,No,No,30,Yes,No,Fiber optic,Yes,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),38.32,1210.89,Yes
CUST-67,Male,1,No,Yes,25,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,31.88,6384.0,No
CUST-68,Female,1,No,No,26,Yes,No phone service,DSL,Yes,No,Yes,Yes,No,No internet service,Two year,Yes,Credit card (automatic),87.88,5899.41,No
CUST-69,Female,0,No,No,50,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No,Two year,No,Credit card (automatic),28.57,7051.45,No
CUST-70,Female,0,No,No,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Mailed check,20.01,6392.55,No
CUST-71,Female,0,Yes,No,10,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,Yes,No,One year,No,Electronic check,111.05,3574.48,No
CUST-72,Male,0,No,No,7,Yes,Yes,No,No internet service,No,Yes,No,Yes,No internet service,One year,No,Credit card (automatic),105.28,1347.94,Yes
CUST-73,Female,1,No,Yes,11,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,53.84,6078.57,No
CUST-74,Male,0,Yes,Yes,44,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),28.05,7468.61,No
CUST-75,Female,1,No,Yes,33,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),85.82,1314.11,No
CUST-76,Female,1,Yes,No,71,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,Two year,No,Credit card (automatic),106.31,4417.31,No
CUST-77,Female,0,Yes,Yes,46,Yes,No,No,Yes,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,115.47,2807.38,No
CUST-78,Male,0,No,No,20,Yes,No phone service,No,No,No internet service,No internet service,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),31.01,4424.08,No
CUST-79,Female,0,Yes,No,40,Yes,Yes,DSL,Yes,No internet service,No,Yes,Yes,No,One year,No,Credit card (automatic),78.02,283.72,No
CUST-80,Male,1,No,No,21,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),61.06,3016.58,Yes
CUST-81,Female,0,No,No,20,Yes,Yes,DSL,No internet service,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),33.68,4125.21,Yes
CUST-82,Male,1,Yes,Yes,27,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),98.79,1297.68,No
CUST-83,Female,0,Yes,No,66,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.22,3474.32,Yes
CUST-84,Male,0,Yes,No,70,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,Two year,No,Electronic check,114.46,1511.03,Yes
CUST-85,Male,1,No,Yes,13,No,No phone service,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),26.55,1847.2,No
CUST-86,Female,0,No,No,51,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No internet service,Yes,Two year,Yes,Credit card (automatic),41.89,8310.55,No
CUST-87,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),100.76,5122.55,Yes
CUST-88,Female,0,No,No,70,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,No,Two year,Yes,Bank transfer (automatic),57.54,3321.03,No
CUST-89,Female,0,No,No,18,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,65.59,4439.47,Yes
CUST-90,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,One year,No,Electronic check,79.15,3267.16,Yes
CUST-91,Female,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),58.85,5122.78,Yes
CUST-92,Female,1,Yes,Yes,12,No,No,No,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,21.54,22.07,No
CUST-93,Female,1,Yes,Yes,0,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),78.4,2020.78,Yes
CUST-94,Female,0,Yes,Yes,33,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),40.89,8406.01,No
CUST-95,Female,0,Yes,No,12,Yes,No phone service,DSL,Yes,No,Yes,No internet service,Yes,Yes,Two year,Yes,Electronic check,114.89,970.9,No
CUST-96,Female,0,Yes,No,50,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,87.03,687.49,No
CUST-97,Female,0,Yes,No,0,No,No,No,No internet service,Yes,No,No internet service,No internet service,No internet service,Two year,No,Mailed check,102.07,4201.02,Yes
CUST-98,Female,1,Yes,No,27,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Electronic check,113.44,2484.83,Yes
CUST-99,Male,0,Yes,No,31,No,No,No,No internet service,Yes,Yes,No internet service,No,Yes,One year,Yes,Electronic check,24.33,4545.59,No
CUST-100,Male,0,No,No,71,Yes,Yes,No,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),32.87,8166.88,No
CUST-101,Female,0,No,No,54,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No,No,One year,No,Mailed check,98.8,1088.15,No
CUST-102,Female,0,Yes,Yes,25,Yes,No phone service,No,No,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,106.48,3749.87,No
CUST-103,Female,0,No,No,13,Yes,No phone service,DSL,No,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),18.49,6454.24,Yes
CUST-104,Female,0,No,No,67,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,Yes,One year,Yes,Mailed check,112.52,1381.4,No
CUST-105,Female,0,No,Yes,62,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,63.44,6058.07,No
CUST-106,Female,0,No,No,13,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),64.26,3412.5,No
CUST-107,Female,0,No,No,26,No,No phone service,No,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),105.87,5283.68,No
CUST-108,Female,0,No,Yes,40,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,46.95,4476.25,No
CUST-109,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,No,Mailed check,76.35,3839.61,Yes
CUST-110,Female,0,Yes,Yes,58,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),51.42,4081.17,Yes
CUST-111,Male,0,No,No,22,Yes,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,29.36,1266.94,No
CUST-112,Female,0,No,No,17,Yes,Yes,DSL,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),53.86,3700.74,No
CUST-113,Female,0,Yes,No,40,No,No,DSL,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),35.3,6405.57,No
CUST-114,Male,0,No,No,7,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,70.1,7623.4,No
CUST-115,Female,1,No,No,31,Yes,No phone service,No,No internet service,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),70.98,5333.55,No
CUST-116,Male,1,No,No,40,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,61.73,7035.21,No
CUST-117,Female,0,No,No,44,Yes,No phone service,DSL,No,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,35.38,4323.12,Yes
CUST-118,Female,1,No,No,8,Yes,No,DSL,Yes,No internet service,No,No,No,Yes,Month-to-month,No,Mailed check,29.87,1851.5,Yes
CUST-119,Male,0,Yes,No,47,Yes,No,DSL,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),28.46,6158.54,No
CUST-120,Female,0,Yes,No,23,Yes,Yes,DSL,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Credit card (automatic),29.22,5971.08,No
CUST-121,Male,0,No,No,43,Yes,No phone service,Fiber optic,No,No,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),47.49,79.67,Yes
CUST-122,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,No,One year,No,Bank transfer (automatic),18.19,4085.05,No
CUST-123,Male,0,No,Yes,65,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,24.23,7963.45,No
CUST-124,Male,0,No,Yes,17,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),65.04,8367.33,Yes
CUST-125,Female,0,No,No,28,Yes,Yes,No,No internet service,No,Yes,No,Yes,No,One year,No,Electronic check,36.27,3893.6,No
CUST-126,Female,0,No,Yes,1,Yes,No phone service,No,No,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,44.34,6140.21,No
CUST-127,Male,0,No,No,67,Yes,No,DSL,No,No,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),53.33,167.66,Yes
CUST-128,Female,1,No,No,38,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,One year,No,Electronic check,21.97,2291.9,Yes
CUST-129,Female,0,No,Yes,40,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,Yes,No,Month-to-month,No,Electronic check,40.0,6140.01,No
CUST-130,Female,0,No,Yes,70,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,95.67,5556.72,Yes
CUST-131,Male,0,No,Yes,21,Yes,No phone service,No,No internet service,No,Yes,No,No internet service,No,Month-to-month,No,Electronic check,52.09,5620.93,Yes
CUST-132,Male,0,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,No,Two year,No,Electronic check,36.62,5925.67,Yes
CUST-133,Male,0,No,No,27,Yes,No,Fiber optic,Yes,Yes,No,No,No,No internet service,One year,No,Mailed check,37.77,3659.69,No
CUST-134,Male,0,Yes,No,15,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),116.47,7973.21,No
CUST-135,Male,0,Yes,No,67,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,32.85,3123.65,No
CUST-136,Male,0,No,No,61,Yes,Yes,No,Yes,No,Yes,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),108.54,7669.5,Yes
CUST-137,Male,0,Yes,No,35,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,26.05,529.43,Yes
CUST-138,Male,0,No,No,21,Yes,Yes,No,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),105.44,7220.83,No
CUST-139,Male,0,No,No,10,Yes,No,No,No internet service,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,68.69,2590.46,No
CUST-140,Female,0,No,No,41,Yes,No phone service,Fiber optic,No,No,No internet service,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),78.87,5614.09,Yes
CUST-141,Male,0,No,Yes,54,No,Yes,DSL,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,42.59,484.34,Yes
CUST-142,Female,0,Yes,Yes,34,Yes,Yes,No,Yes,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),107.86,696.96,No
CUST-143,Female,1,Yes,Yes,56,Yes,No,No,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),76.71,501.39,No
CUST-144,Female,1,No,Yes,33,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No,Two year,No,Mailed check,85.57,4130.92,No
CUST-145,Male,1,Yes,No,69,Yes,No phone service,DSL,No,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),73.68,3548.13,Yes
CUST-146,Male,0,Yes,Yes,3,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No,No,One year,No,Credit card (automatic),30.52,2725.07,No
CUST-147,Male,0,Yes,No,45,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No,Two year,No,Credit card (automatic),101.62,3800.6,No
CUST-148,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),36.36,2677.78,No
CUST-149,Female,0,Yes,No,60,Yes,No phone service,No,Yes,Yes,No,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),47.19,7409.93,No
CUST-150,Male,0,Yes,No,34,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),84.95,4791.7,Yes
CUST-151,Male,0,Yes,Yes,68,Yes,No phone service,No,No,No,No,No internet service,Yes,Yes,Two year,Yes,Mailed check,27.33,2649.3,No
CUST-152,Male,1,No,No,56,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),111.34,3874.65,No
CUST-153,Male,0,Yes,Yes,10,Yes,No phone service,No,Yes,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,30.41,7373.2,Yes
CUST-154,Male,1,Yes,No,11,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,84.72,3488.17,No
CUST-155,Female,0,No,No,42,Yes,No phone service,No,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,No,Electronic check,81.51,3641.28,Yes
CUST-156,Male,0,Yes,No,18,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No,Two year,Yes,Credit card (automatic),87.8,2882.34,Yes
CUST-157,Female,0,No,No,67,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,61.33,2227.27,No
CUST-158,Male,0,No,No,58,Yes,No,DSL,No,No,Yes,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),56.23,4019.42,No
CUST-159,Female,0,No,Yes,1,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,Two year,No,Electronic check,115.77,6265.74,No
CUST-160,Male,0,No,Yes,7,Yes,No,Fiber optic,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,99.72,3139.17,Yes
CUST-161,Male,0,No,No,21,Yes,Yes,No,No,No internet service,Yes,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),66.54,1941.6,No
CUST-162,Female,0,No,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Mailed check,36.23,5616.13,No
CUST-163,Female,1,Yes,No,28,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,107.06,6876.2,No
CUST-164,Female,0,No,Yes,36,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,82.87,202.97,Yes
CUST-165,Male,1,Yes,No,28,Yes,Yes,DSL,No,No,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,31.58,5382.16,Yes
CUST-166,Female,0,Yes,No,36,Yes,No,DSL,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,36.31,7659.66,No
CUST-167,Male,0,No,No,20,No,No,DSL,Yes,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),72.08,767.88,No
CUST-168,Male,0,Yes,No,11,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,68.37,7645.51,No
CUST-169,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),58.93,1016.83,No
